GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS
Lineups,-1629628-1630567-1631115-1642266-1642347-,R. Barrett - S. Barnes - O. Robinson - J. Walter - J. Shead,1610612761,TOR,5,3,2,0.6,34.0,117.1,117.1,107.2,108.5,9.9,8.7,0.806,12.5,23.4,0.293,0.632,0.456,0.029,0.507,0.525,101.4,100.76,83.97,70,0.531,1130,994,14449,7021,476,6336,9641,6885,4630,10,4105,6957,10189,10222,7346,7921,9262,11626,7541,100750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-201939-203110-203952-1630228-1631218-,S. Curry - D. Green - A. Wiggins - J. Kuminga - T. Jackson-Davis,1610612744,GSW,3,2,1,0.667,34.0,109.9,111.5,114.5,114.1,-4.6,-2.6,0.594,1.12,17.4,0.324,0.718,0.526,0.218,0.567,0.595,109.8,109.15,90.96,78,0.455,2326,1668,5863,6411,461,7166,10380,9549,8491,5147,7686,6613,7946,6534,13936,6852,7322,7341,9251,102900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-202699-1627736-1630191-1630595-1631093-,T. Harris - M. Beasley - I. Stewart - C. Cunningham - J. Ivey,1610612765,DET,13,7,6,0.538,34.0,84.8,80.8,107.7,101.3,-22.9,-20.5,0.44,0.69,10.6,0.341,0.769,0.542,0.205,0.444,0.461,104.4,110.3,91.92,78,0.357,187,243,17719,7268,467,11698,9067,11251,11176,7523,11477,5302,6735,6148,13760,10502,11507,6903,11042,102485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-204456-1627783-1630167-1630169-1631097-,T. McConnell - P. Siakam - O. Toppin - T. Haliburton - B. Mathurin,1610612754,IND,16,6,10,0.375,34.0,116.4,111.3,108.7,96.0,7.7,15.3,0.6,2.63,18.4,0.325,0.636,0.488,0.1,0.564,0.574,100.2,108.77,90.64,80,0.584,104,330,17923,9326,464,7182,6799,6264,8079,1973,7093,6612,10110,9593,8851,6904,7881,7506,6403,102600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1630243-1631216-1641710-1641724-1641783-,T. Queen - C. Houstan - A. Black - J. Howard - T. da Silva,1610612753,ORL,8,4,4,0.5,34.0,82.2,83.6,94.9,92.6,-12.7,-9.1,0.632,1.2,14.1,0.184,0.632,0.408,0.149,0.393,0.45,94.4,94.74,78.95,67,0.417,518,634,17185,7287,464,11376,6540,10072,7817,5033,10122,9349,10189,11527,11352,11578,11664,14400,9961,102600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-203897-1627734-1628370-1631099-1631165-,Z. LaVine - D. Sabonis - M. Monk - K. Murray - K. Ellis,1610612758,SAC,9,6,3,0.667,34.0,119.7,117.1,92.9,92.0,26.8,25.1,0.758,2.08,22.3,0.379,0.78,0.614,0.158,0.615,0.642,104.5,106.12,88.43,76,0.682,425,330,16438,6411,468,6339,6489,5237,5147,2431,4427,4941,6587,4238,11604,5635,5910,8760,4767,102450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1629014-1630166-1630703-1641739-1642270-,A. Simons - D. Avdija - S. Henderson - T. Camara - D. Clingan,1610612757,POR,13,5,8,0.385,33.0,97.1,94.8,99.1,94.5,-2.0,0.3,0.654,1.13,16.0,0.324,0.784,0.554,0.195,0.508,0.543,104.9,108.67,90.56,77,0.498,187,445,17859,9319,489,10381,6703,7520,7645,5132,8870,6613,6573,5890,12949,7918,8793,7587,8498,99385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
Lineups,-1627747-1627777-1628386-1629622-1629636-,C. LeVert - G. Niang - J. Allen - M. Strus - D. Garland,1610612739,CLE,11,8,3,0.727,33.0,98.1,96.1,128.3,124.7,-30.2,-28.6,0.714,2.0,18.9,0.238,0.688,0.432,0.132,0.492,0.518,107.3,110.05,91.71,76,0.348,282,199,16438,6317,480,10299,11725,11957,5921,2447,6871,8405,8514,10858,10439,9954,9429,6980,11184,100100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
Lineups,-1627747-1628386-1629622-1629636-1629731-,C. LeVert - J. Allen - M. Strus - D. Garland - D. Wade,1610612739,CLE,10,8,2,0.8,33.0,120.2,115.2,96.7,98.6,23.5,16.5,0.818,1.8,23.3,0.345,0.714,0.563,0.19,0.653,0.672,109.7,110.99,92.49,79,0.63,348,199,14449,5982,490,6687,6903,6175,4587,3855,4131,5291,7953,5564,12884,4789,5060,6526,5603,99250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
Lineups,-101108-1629640-1630200-1630577-1641705-,C. Paul - K. Johnson - T. Jones - J. Champagnie - V. Wembanyama,1610612759,SAS,7,5,2,0.714,33.0,138.7,136.8,108.8,104.5,30.0,32.2,0.844,3.86,27.0,0.2,0.821,0.528,0.103,0.705,0.738,96.0,98.58,82.15,68,0.655,632,445,14449,6328,500,3887,9238,4818,4397,951,2479,8766,5890,6516,9169,3740,3850,12771,5225,97870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
Lineups,-201599-1627750-1629008-1631128-1631212-,D. Jordan - J. Murray - M. Porter Jr. - C. Braun - P. Watson,1610612743,DEN,9,3,6,0.333,33.0,112.8,110.4,115.9,109.9,-3.1,0.6,0.464,1.44,14.4,0.313,0.622,0.478,0.134,0.543,0.573,97.4,101.18,84.32,67,0.497,425,994,17719,9358,498,7330,9791,7503,11059,4647,9481,6672,10366,9722,10558,7434,7902,11404,8509,98200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
